DATE,TIME,STATION,PORT,MODEL,,,,,,,,
Wed Sep 5 2018,13:15:58,B,2,Test script 1,,,,,,,,
STATUS,TIME,V0,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
00001,00001,04820,00712,00709,00708,00682,00684,00681,00682,00682,00682,00682
00002,00002,04832,00681,00681,00681,00684,00682,00682,00682,00683,00683,00651
00002,00003,04868,00586,00586,00586,00586,00585,00586,00586,00587,00585,00586
00002,00004,04860,00585,00586,00587,00585,00586,00586,00587,00585,00586,00586
00002,00005,04852,00586,00584,00586,00585,00586,00586,00585,00587,00586,00585
00002,00006,04848,00586,00586,00585,00588,00586,00586,00587,00586,00585,00586
00002,00007,04844,00586,00586,00586,00586,00586,00586,00587,00586,00586,00588
00002,00008,04848,00587,00587,00586,00587,00586,00587,00586,00586,00586,00586
00002,00009,04844,00586,00586,00585,00585,00586,00585,00586,00586,00586,00586
00002,00010,04848,00587,00587,00586,00586,00586,00586,00586,00587,00586,00586
00002,00011,04852,00586,00586,00587,00587,00586,00586,00586,00586,00586,00586
00002,00012,04852,00586,00587,00588,00586,00586,00588,00587,00586,00586,00587
00002,00013,04852,00585,00587,00586,00586,00587,00587,00586,00588,00586,00586
00002,00014,04856,00587,00585,00587,00586,00587,00587,00586,00585,00586,00588
00002,00015,04852,00588,00587,00586,00586,00586,00586,00587,00586,00588,00586
00002,00016,04856,00587,00588,00586,00587,00587,00586,00586,00586,00586,00586
00002,00017,04852,00586,00587,00587,00588,00586,00586,00587,00586,00586,00586
00002,00018,04856,00587,00586,00586,00587,00587,00587,00586,00587,00586,00586
00002,00019,04852,00587,00587,00588,00586,00587,00586,00586,00587,00586,00586
00002,00020,04852,00587,00586,00587,00587,00586,00587,00587,00587,00586,00588
00002,00021,04856,00586,00586,00587,00586,00585,00587,00587,00586,00586,00587
00002,00022,04852,00587,00586,00587,00586,00587,00586,00586,00586,00586,00587
00002,00023,04856,00587,00586,00586,00586,00587,00588,00586,00586,00586,00586
00002,00024,04852,00587,00587,00588,00587,00586,00586,00587,00587,00587,00586
00002,00025,04852,00587,00587,00586,00588,00586,00586,00587,00588,00587,00587
00002,00026,04852,00584,00587,00586,00587,00589,00586,00587,00588,00587,00587
00002,00027,04852,00587,00586,00586,00588,00586,00588,00587,00588,00586,00587
00002,00028,04852,00586,00586,00588,00586,00587,00586,00586,00586,00587,00588
00002,00029,04852,00587,00586,00588,00585,00588,00587,00587,00587,00587,00588
00002,00030,04856,00586,00586,00587,00587,00587,00586,00588,00587,00586,00587
00002,00031,04856,00588,00587,00587,00587,00587,00586,00587,00586,00586,00587
00002,00032,04852,00587,00588,00586,00587,00587,00587,00588,00586,00587,00586
00002,00033,04856,00587,00587,00587,00588,00586,00587,00587,00586,00587,00586
00002,00034,04852,00588,00587,00586,00587,00587,00587,00588,00586,00588,00587
00002,00035,04852,00587,00587,00586,00587,00587,00587,00586,00587,00586,00587
00002,00036,04856,00586,00588,00587,00586,00588,00587,00586,00587,00587,00587
00002,00037,04852,00586,00587,00586,00587,00588,00587,00587,00586,00586,00585
00002,00038,04856,00586,00587,00587,00586,00586,00586,00587,00586,00586,00588
00002,00039,04852,00588,00588,00588,00587,00589,00587,00587,00586,00586,00588
00002,00040,04852,00586,00587,00588,00586,00587,00587,00588,00587,00586,00586
00002,00041,04852,00589,00586,00586,00587,00587,00586,00586,00588,00587,00586
00002,00042,04852,00587,00588,00588,00587,00587,00587,00588,00588,00587,00587
00002,00043,04852,00586,00586,00587,00587,00587,00587,00588,00587,00588,00588
00002,00044,04852,00585,00588,00588,00587,00587,00587,00586,00588,00588,00587
00002,00045,04856,00588,00588,00586,00588,00587,00587,00588,00586,00588,00586
00002,00046,04852,00586,00588,00588,00588,00587,00586,00588,00587,00587,00586
00002,00047,04852,00588,00586,00587,00586,00588,00588,00587,00586,00587,00587
00002,00048,04852,00588,00588,00586,00588,00587,00586,00588,00587,00587,00588
00002,00049,04848,00587,00587,00587,00587,00587,00586,00587,00587,00586,00586
00002,00050,04856,00587,00585,00586,00585,00588,00587,00587,00586,00587,00587
00002,00051,04852,00587,00586,00586,00587,00586,00587,00588,00588,00585,00588
00002,00052,04852,00586,00586,00587,00587,00586,00586,00587,00587,00586,00586
00002,00053,04852,00585,00588,00585,00588,00585,00588,00588,00587,00587,00588
00002,00054,04852,00587,00588,00586,00587,00586,00586,00588,00586,00586,00586
00002,00055,04852,00587,00587,00588,00587,00588,00587,00587,00586,00588,00588
00002,00056,04852,00588,00587,00588,00587,00588,00586,00588,00588,00586,00587
00002,00057,04852,00587,00586,00586,00586,00588,00586,00587,00587,00587,00588
